,金刚石负荷功率,玄武岩负荷功率,单位
0,88.99,210,kW
1,88.99,211,kW
2,88.99,212,kW
3,88.99,213,kW
4,88.99,214,kW
5,88.99,215,kW
6,88.99,216,kW
7,88.99,217,kW
8,88.99,218,kW
9,88.99,219,kW
10,88.99,220,kW
11,88.99,221,kW
12,88.99,222,kW
13,88.99,223,kW
14,88.99,224,kW
15,88.99,225,kW
16,88.99,226,kW
17,88.99,227,kW
18,88.99,228,kW
19,88.99,226,kW
20,88.99,226,kW
21,88.99,226,kW
22,88.99,226,kW
23,88.99,226,kW
24,198,226,kW
25,221.08,226,kW
26,267.24,226,kW
27,290.33,226,kW
28,290.33,226,kW
29,290.33,227,kW
30,290.33,226,kW
31,339.83,226,kW
32,394.89,226,kW
33,394.89,226,kW
34,394.89,226,kW
35,394.89,226,kW
36,394.89,226,kW
37,394.89,226,kW
38,394.89,226,kW
39,394.89,226,kW
40,394.89,226,kW
41,394.89,226,kW
42,389.33,226,kW
43,389.33,226,kW
44,389.66,226,kW
45,389.33,226,kW
46,389.33,226,kW
47,389.33,226,kW
48,389.33,226,kW
49,389.33,226,kW
50,389.33,226,kW
51,389.33,226,kW
52,389.33,226,kW
53,389.33,227,kW
54,389.33,227,kW
55,389.33,227,kW
56,394.89,227,kW
57,394.89,227,kW
58,394.89,227,kW
59,394.89,227,kW
60,394.89,227,kW
61,394.89,227,kW
62,394.89,227,kW
63,394.89,227,kW
64,394.89,227,kW
65,394.89,227,kW
66,389.33,227,kW
67,389.33,227,kW
68,389.33,227,kW
69,389.33,227,kW
70,389.66,227,kW
71,389.33,227,kW
72,389.33,227,kW
73,389.33,227,kW
74,389.33,227,kW
75,389.33,227,kW
76,389.33,227,kW
77,389.33,227,kW
78,389.33,227,kW
79,389.33,227,kW
80,394.89,227,kW
81,394.89,227,kW
82,394.89,227,kW
83,394.89,227,kW
84,394.89,227,kW
85,394.89,227,kW
86,394.89,227,kW
87,394.89,227,kW
88,394.89,227,kW
89,394.89,227,kW
90,389.33,227,kW
91,389.33,227,kW
92,389.33,227,kW
93,389.33,227,kW
94,389.33,227,kW
95,389.33,227,kW
96,389.33,227,kW
97,389.66,227,kW
98,389.33,227,kW
99,389.33,227,kW
100,389.33,227,kW
101,389.33,227,kW
102,389.33,227,kW
103,389.33,227,kW
104,394.89,227,kW
105,394.89,227,kW
106,394.89,227,kW
107,394.89,227,kW
108,394.89,227,kW
109,394.89,227,kW
110,394.89,227,kW
111,394.89,227,kW
112,394.89,227,kW
113,394.89,227,kW
114,389.33,227,kW
115,389.33,227,kW
116,389.33,227,kW
117,389.33,227,kW
118,389.33,227,kW
119,389.33,227,kW
120,389.33,227,kW
121,389.33,227,kW
122,389.33,227,kW
123,389.33,227,kW
124,389.66,227,kW
125,389.33,227,kW
126,389.33,227,kW
127,389.33,227,kW
128,394.89,227,kW
129,394.89,227,kW
130,394.89,227,kW
131,394.89,227,kW
132,394.89,227,kW
133,394.89,227,kW
134,394.89,227,kW
135,394.89,227,kW
136,394.89,227,kW
137,394.89,227,kW
138,389.33,217,kW
139,389.33,218,kW
140,389.33,219,kW
141,389.33,220,kW
142,389.33,221,kW
143,389.33,222,kW
144,388.54,223,kW
145,386.97,224,kW
146,385.39,225,kW
147,383.82,226,kW
148,382.25,227,kW
149,380.67,227,kW
150,379.43,227,kW
151,377.53,227,kW
152,381.52,227,kW
153,379.94,227,kW
154,378.37,227,kW
155,376.8,227,kW
156,375.22,227,kW
157,373.65,227,kW
158,372.08,227,kW
159,370.5,227,kW
160,368.93,227,kW
161,367.36,227,kW
162,360.22,227,kW
163,358.65,227,kW
164,357.08,227,kW
165,355.5,227,kW
166,353.93,227,kW
167,352.36,227,kW
168,350.78,227,kW
169,349.21,227,kW
170,347.64,227,kW
171,346.06,227,kW
172,344.49,227,kW
173,342.92,227,kW
174,341.34,227,kW
175,339.77,227,kW
176,343.76,227,kW
177,342.52,227,kW
178,340.61,227,kW
179,339.04,227,kW
180,337.47,227,kW
181,335.89,227,kW
182,334.32,227,kW
183,332.75,227,kW
184,331.17,227,kW
185,329.6,227,kW
186,322.46,227,kW
187,320.89,227,kW
188,319.32,227,kW
189,317.75,227,kW
190,316.17,227,kW
191,314.6,227,kW
192,313.03,227,kW
193,311.45,227,kW
194,309.88,227,kW
195,308.31,227,kW
196,306.73,227,kW
197,305.16,227,kW
198,303.59,227,kW
199,302.01,227,kW
200,306,227,kW
201,304.43,227,kW
202,302.86,227,kW
